"_offset","job_function_id","base_name","category","is_active","level","track","seniority_level","seniority_index","_created_micros","_updated_micros"
"13405","8050000000000002078","Content Services Management","Delivery","true","1","B","B1","4","1732196461548000","1732196656563000"
"13422","8050000000000002078","Content Services Management","Delivery","true","1","B","B1","4","1732196461548000","1732196656563000"
"13406","8050000000000002080","Content Services Management","Delivery","true","2","B","B2","5","1732196461549000","1732196656563000"
"13423","8050000000000002080","Content Services Management","Delivery","true","2","B","B2","5","1732196461549000","1732196656563000"
"13409","8050000000000002084","Content Services Management","Delivery","true","4","B","B4","7","1732196461549000","1732196656563000"
"13425","8050000000000002084","Content Services Management","Delivery","true","4","B","B4","7","1732196461549000","1732196656563000"
"13408","8050000000000002082","Content Services Management","Delivery","true","3","B","B3","6","1732196461549000","1732196656563000"
"13424","8050000000000002082","Content Services Management","Delivery","true","3","B","B3","6","1732196461549000","1732196656563000"
"13407","8050000000000002086","Content Services Management","Delivery","true","5","B","B5","8","1732196461549000","1732196656563000"
"13421","8050000000000002086","Content Services Management","Delivery","true","5","B","B5","8","1732196461549000","1732196656563000"
